Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
48,45.24176677,36.1749191,20,8,,,,,,,,,,,,,
48.5,46.23651856,37.34318356,20,8,,,,,,,,,,,,,
49,45.02416482,36.83524249,20,8,,,,,,,,,,,,,
49.5,45.24176677,37.11461008,20,8,,,,,,,,,,,,,
50,44.74439088,36.20031615,20,8,,,,,,,,,,,,,
50.5,45.42828273,37.03841892,20,8,,,,,,,,,,,,,
51,45.73914267,36.98762481,20,8,,,,,,,,,,,,,
51.5,45.49045472,37.08921302,20,8,,,,,,,,,,,,,
52,46.14326058,37.39397767,20,8,,,,,,,,,,,,,
52.5,45.42828273,37.2669924,20,8,,,,,,,,,,,,,
53,45.42828273,37.11461008,20,8,,,,,,,,,,,,,
53.5,44.58896091,36.75905133,20,8,,,,,,,,,,,,,
54,45.5837127,37.19080124,20,8,,,,,,,,,,,,,
54.5,45.83240065,37.29238945,20,8,,,,,,,,,,,,,
55,45.92565863,38.20668338,20,8,,,,,,,,,,,,,
55.5,45.42828273,37.29238945,20,8,,,,,,,,,,,,,
56,45.39719674,36.5558749,20,8,,,,,,,,,,,,,
56.5,45.42828273,37.11461008,20,8,,,,,,,,,,,,,
57,45.24176677,36.1749191,20,8,,,,,,,,,,,,,
57.5,45.52154071,37.11461008,20,8,,,,,,,,,,,,,
58,44.74439088,36.73365427,20,8,,,,,,,,,,,,,
58.5,44.96199283,36.40349258,20,8,,,,,,,,,,,,,
59,45.42828273,37.29238945,20,8,,,,,,,,,,,,,
59.5,45.67697068,37.08921302,20,8,,,,,,,,,,,,,
60,45.49045472,37.03841892,20,8,,,,,,,,,,,,,
60.5,45.67697068,37.19080124,20,8,,,,,,,,,,,,,
61,45.86348664,37.19080124,20,8,,,,,,,,,,,,,
61.5,46.14326058,37.39397767,20,8,,,,,,,,,,,,,
62,44.83764886,36.5558749,20,8,,,,,,,,,,,,,
62.5,44.52678892,36.5558749,20,8,,,,,,,,,,,,,
63,45.5837127,36.27650731,20,8,,,,,,,,,,,,,
63.5,45.83240065,37.11461008,20,8,,,,,,,,,,,,,
64,45.83240065,37.03841892,20,8,,,,,,,,,,,,,
64.5,46.01891661,37.29238945,20,8,,,,,,,,,,,,,
65,46.01891661,36.73365427,20,8,,,,,,,,,,,,,
65.5,45.5837127,37.2669924,20,8,,,,,,,,,,,,,
66,45.86348664,37.39397767,20,8,,,,,,,,,,,,,
66.5,44.93090684,37.24159534,20,8,,,,,,,,,,,,,
67,45.92565863,37.29238945,20,8,,,,,,,,,,,,,
67.5,45.42828273,36.98762481,20,8,,,,,,,,,,,,,
68,47.07584039,37.87652168,20,8,,,,,,,,,,,,,
68.5,45.92565863,37.49556588,20,8,,,,,,,,,,,,,
69,45.02416482,36.8860366,20,8,,,,,,,,,,,,,
69.5,45.92565863,37.29238945,20,8,,,,,,,,,,,,,
70,46.23651856,36.65746311,20,8,,,,,,,,,,,,,
70.5,45.73914267,37.29238945,20,8,,,,,,,,,,,,,
71,45.86348664,37.24159534,20,8,,,,,,,,,,,,,
71.5,45.73914267,36.91143365,20,8,,,,,,,,,,,,,
72,46.11217459,37.29238945,20,8,,,,,,,,,,,,,
72.5,45.92565863,37.39397767,20,8,,,,,,,,,,,,,
73,45.49045472,37.29238945,20,8,,,,,,,,,,,,,
73.5,46.14326058,37.2669924,20,8,,,,,,,,,,,,,
74,46.14326058,38.05430106,20,8,,,,,,,,,,,,,
74.5,45.83240065,37.29238945,20,8,,,,,,,,,,,,,
75,46.64063648,37.90191874,20,8,,,,,,,,,,,,,
75.5,46.11217459,37.24159534,20,8,,,,,,,,,,,,,
76,43.84289707,37.2669924,20,8,,,,,,,,,,,,,
76.5,46.11217459,37.29238945,20,8,,,,,,,,,,,,,
77,46.14326058,37.29238945,20,8,,,,,,,,,,,,,
77.5,46.14326058,37.19080124,20,8,,,,,,,,,,,,,
78,46.01891661,36.27650731,20,8,,,,,,,,,,,,,
78.5,46.92041042,37.39397767,20,8,,,,,,,,,,,,,
79,47.54213029,37.03841892,20,8,,,,,,,,,,,,,
